id,date,hour,level,volume,area,ID_SWOT
2310018473,2020-10-30,18:00:00,27.322,47758999.99999999,10788373.999999998,2310018473
2310018473,2020-10-30,19:00:00,27.323,47770000.0,10789841.0,2310018473
2310018473,2020-10-30,20:00:00,27.321,47748000.00000001,10786907.000000002,2310018473
2310018473,2020-10-30,21:00:00,27.324,47781000.00000001,10791308.000000002,2310018473
2310018473,2020-10-30,22:00:00,27.322,47758999.99999999,10788373.999999998,2310018473
2310018473,2020-10-30,23:00:00,27.323,47770000.0,10789841.0,2310018473
2310018473,2020-10-31,00:00:00,27.323,47770000.0,10789841.0,2310018473
2310018473,2020-10-31,01:00:00,27.322,47758999.99999999,10788373.999999998,2310018473
2310018473,2020-10-31,02:00:00,27.323,47770000.0,10789841.0,2310018473
2310018473,2020-10-31,03:00:00,27.32,47738000.0,10785440.0,2310018473
2310018473,2020-10-31,04:00:00,27.321,47748000.00000001,10786907.000000002,2310018473
2310018473,2020-10-31,05:00:00,27.32,47738000.0,10785440.0,2310018473
2310018473,2020-10-31,06:00:00,27.323,47770000.0,10789841.0,2310018473
2310018473,2020-10-31,07:00:00,27.321,47748000.00000001,10786907.000000002,2310018473
2310018473,2020-10-31,08:00:00,27.32,47738000.0,10785440.0,2310018473
2310018473,2020-10-31,09:00:00,27.32,47738000.0,10785440.0,2310018473
2310018473,2020-10-31,10:00:00,27.32,47738000.0,10785440.0,2310018473
2310018473,2020-10-31,11:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-10-31,12:00:00,27.315,47684000.0,10778105.000000002,2310018473
2310018473,2020-10-31,13:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-10-31,14:00:00,27.32,47738000.0,10785440.0,2310018473
2310018473,2020-10-31,15:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-10-31,16:00:00,27.317,47705000.0,10781039.0,2310018473
2310018473,2020-10-31,17:00:00,27.318,47716000.0,10782506.000000002,2310018473
2310018473,2020-10-31,18:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-10-31,19:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-10-31,20:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-10-31,21:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-10-31,22:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-10-31,23:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-01,00:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-11-01,01:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,02:00:00,27.315,47684000.0,10778105.000000002,2310018473
2310018473,2020-11-01,03:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-01,04:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-01,05:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,06:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,07:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,08:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-01,09:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-01,10:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,11:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,12:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-01,13:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,14:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,15:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,16:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-01,17:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-11-01,18:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,19:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,20:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,21:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,22:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-01,23:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-02,00:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-02,01:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-02,02:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-02,03:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-02,04:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-02,05:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-02,06:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-02,07:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-11-02,08:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-02,09:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-02,10:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-02,11:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-02,12:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-02,13:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-02,14:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-02,15:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-02,16:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-02,17:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-02,18:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-02,19:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-11-02,20:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-02,21:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-02,22:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-02,23:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-03,00:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-03,01:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-03,02:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-03,03:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-03,04:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-03,05:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-03,06:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-03,07:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-03,08:00:00,27.308000000000003,47608000.0,10767836.000000006,2310018473
2310018473,2020-11-03,09:00:00,27.309,47619000.0,10769303.000000002,2310018473
2310018473,2020-11-03,10:00:00,27.307,47597000.0,10766368.999999998,2310018473
2310018473,2020-11-03,11:00:00,27.307,47597000.0,10766368.999999998,2310018473
2310018473,2020-11-03,12:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-03,13:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-03,14:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-03,15:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-03,16:00:00,27.306,47587000.0,10764902.000000002,2310018473
2310018473,2020-11-03,17:00:00,27.307,47597000.0,10766368.999999998,2310018473
2310018473,2020-11-03,18:00:00,27.307,47597000.0,10766368.999999998,2310018473
2310018473,2020-11-03,19:00:00,27.309,47619000.0,10769303.000000002,2310018473
2310018473,2020-11-03,20:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-03,21:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-03,22:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-03,23:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-04,00:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-04,01:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-04,02:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-04,03:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-04,04:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-04,05:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-11-04,06:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-04,07:00:00,27.316,47694000.0,10779571.999999998,2310018473
2310018473,2020-11-04,08:00:00,27.315,47684000.0,10778105.000000002,2310018473
2310018473,2020-11-04,09:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-04,10:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-04,11:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-04,12:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-04,13:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-04,14:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-04,15:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-04,16:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-04,17:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-04,18:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-04,19:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-04,20:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-04,21:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-04,22:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-11-04,23:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-11-05,00:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-05,01:00:00,27.308000000000003,47608000.0,10767836.000000006,2310018473
2310018473,2020-11-05,02:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-05,03:00:00,27.309,47619000.0,10769303.000000002,2310018473
2310018473,2020-11-05,04:00:00,27.308000000000003,47608000.0,10767836.000000006,2310018473
2310018473,2020-11-05,05:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-05,06:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-05,07:00:00,27.315,47684000.0,10778105.000000002,2310018473
2310018473,2020-11-05,08:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-05,09:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-05,10:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-05,11:00:00,27.315,47684000.0,10778105.000000002,2310018473
2310018473,2020-11-05,12:00:00,27.315,47684000.0,10778105.000000002,2310018473
2310018473,2020-11-05,13:00:00,27.316,47694000.0,10779571.999999998,2310018473
2310018473,2020-11-05,14:00:00,27.315,47684000.0,10778105.000000002,2310018473
2310018473,2020-11-05,15:00:00,27.318,47716000.0,10782506.000000002,2310018473
2310018473,2020-11-05,16:00:00,27.319000000000003,47727000.0,10783973.000000004,2310018473
2310018473,2020-11-05,17:00:00,27.32,47738000.0,10785440.0,2310018473
2310018473,2020-11-05,18:00:00,27.321,47748000.00000001,10786907.000000002,2310018473
2310018473,2020-11-05,19:00:00,27.318,47716000.0,10782506.000000002,2310018473
2310018473,2020-11-05,20:00:00,27.322,47758999.99999999,10788373.999999998,2310018473
2310018473,2020-11-05,21:00:00,27.322,47758999.99999999,10788373.999999998,2310018473
2310018473,2020-11-05,22:00:00,27.32,47738000.0,10785440.0,2310018473
2310018473,2020-11-05,23:00:00,27.32,47738000.0,10785440.0,2310018473
2310018473,2020-11-06,00:00:00,27.317,47705000.0,10781039.0,2310018473
2310018473,2020-11-06,01:00:00,27.318,47716000.0,10782506.000000002,2310018473
2310018473,2020-11-06,02:00:00,27.315,47684000.0,10778105.000000002,2310018473
2310018473,2020-11-06,03:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-06,04:00:00,27.316,47694000.0,10779571.999999998,2310018473
2310018473,2020-11-06,05:00:00,27.32,47738000.0,10785440.0,2310018473
2310018473,2020-11-06,06:00:00,27.32,47738000.0,10785440.0,2310018473
2310018473,2020-11-06,07:00:00,27.317,47705000.0,10781039.0,2310018473
2310018473,2020-11-06,08:00:00,27.321,47748000.00000001,10786907.000000002,2310018473
2310018473,2020-11-06,09:00:00,27.321,47748000.00000001,10786907.000000002,2310018473
2310018473,2020-11-06,10:00:00,27.321,47748000.00000001,10786907.000000002,2310018473
2310018473,2020-11-06,11:00:00,27.317,47705000.0,10781039.0,2310018473
2310018473,2020-11-06,12:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-06,13:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-06,14:00:00,27.309,47619000.0,10769303.000000002,2310018473
2310018473,2020-11-06,15:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-06,16:00:00,27.308000000000003,47608000.0,10767836.000000006,2310018473
2310018473,2020-11-06,17:00:00,27.306,47587000.0,10764902.000000002,2310018473
2310018473,2020-11-06,18:00:00,27.305,47576000.0,10763435.0,2310018473
2310018473,2020-11-06,19:00:00,27.307,47597000.0,10766368.999999998,2310018473
2310018473,2020-11-06,20:00:00,27.307,47597000.0,10766368.999999998,2310018473
2310018473,2020-11-06,21:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-06,22:00:00,27.309,47619000.0,10769303.000000002,2310018473
2310018473,2020-11-06,23:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-07,00:00:00,27.307,47597000.0,10766368.999999998,2310018473
2310018473,2020-11-07,01:00:00,27.308000000000003,47608000.0,10767836.000000006,2310018473
2310018473,2020-11-07,02:00:00,27.302,47544000.0,10759034.0,2310018473
2310018473,2020-11-07,03:00:00,27.307,47597000.0,10766368.999999998,2310018473
2310018473,2020-11-07,04:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-07,05:00:00,27.308000000000003,47608000.0,10767836.000000006,2310018473
2310018473,2020-11-07,06:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-07,07:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-07,08:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-11-07,09:00:00,27.316,47694000.0,10779571.999999998,2310018473
2310018473,2020-11-07,10:00:00,27.316,47694000.0,10779571.999999998,2310018473
2310018473,2020-11-07,11:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-11-07,12:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-07,13:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-07,14:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-07,15:00:00,27.308000000000003,47608000.0,10767836.000000006,2310018473
2310018473,2020-11-07,16:00:00,27.308000000000003,47608000.0,10767836.000000006,2310018473
2310018473,2020-11-07,17:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-07,18:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-07,19:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-07,20:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-07,21:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-07,22:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-11-07,23:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-08,00:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-08,01:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-08,02:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-08,03:00:00,27.314,47673000.0,10776638.0,2310018473
2310018473,2020-11-08,04:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-08,05:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-08,06:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-08,07:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-08,08:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-08,09:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-08,10:00:00,27.313,47662000.0,10775170.999999998,2310018473
2310018473,2020-11-08,11:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-08,12:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-08,13:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-08,14:00:00,27.312,47651000.0,10773704.000000002,2310018473
2310018473,2020-11-08,15:00:00,27.311,47641000.00000001,10772237.0,2310018473
2310018473,2020-11-08,16:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-08,17:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-08,18:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-08,19:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-08,20:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-08,21:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-08,22:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-08,23:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-09,00:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-09,01:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-09,02:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-09,03:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-09,04:00:00,27.31,47630000.0,10770769.999999998,2310018473
2310018473,2020-11-09,05:00:00,27.308000000000003,47608000.0,10767836.000000006,2310018473
2310018473,2020-11-09,06:00:00,27.307,47597000.0,10766368.999999998,2310018473
2310018473,2020-11-09,07:00:00,27.31,47630000.0,10770769.999999998,2310018473
